Region,Region_Name,Period,Secondary Culture,Area (ha),Culture,Cultivation practices,Type of crop,Sowing method,Sowing method name,Variety Name,Variety type,Variety type name,Variety cycle,Cultivation conditions,Cultivation_condition,Cause of poor conditions,Quantity of seeds used (kg),Classified seed quantity (kg),Type of spacing,Type of irrigation,Type of irrigation name,Quantity of organic fertiliser (kg),Quantity of chemical fertiliser (kg),Quantity of plant protection product (L),Agricultural Equipment,Agricultural Equipment Name,Harvester used,Destination production,Destination production name,Technical support,Technical support name,Estimated production (tonnes),Number of growing days,Dry weight (g/m2) /1001,Humidity level/10 (%),Weight of rice without moisture (g/m2) /1000,Yield (T/Ha)
1,Bongolava,2,0,4.61,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,4,Good,0,146,2,3,2,Motorised irrigation,447.17,331.92,23.05,3,Motorized Equipment,1,2,Self-Consumption,1,Financial aid,13.83,95,0.519086,0.2,0.518047828,5.18047828
2,Itasy,2,0,1.54,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,5,Very Good,0,43,1,4,2,Motorised irrigation,120.12,72.38,15.4,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,6.16,122,0.029568,0.18,0.029514778,0.295147776
3,Diana,2,0,3.85,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,2,111,2,3,1,Gravity irrigation,527.45,419.65,38.5,2,Animal Drawn Equipment,1,2,Self-Consumption,5,Vulgarisation,15.4,184,0.43351,0.18,0.432729682,4.32729682
4,Boeny,1,0,0.64,1,1,1,2,In-line transplanting,61,2,Local/traditional variety,2,3,Average,2,25,1,3,3,Rain water irrigation,63.36,25.6,1.28,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.92,47,0.012288,0.14,0.012270797,0.122707968
5,Vatovavy,1,0,0.45,1,1,1,1,Random transplanting,61,2,Local/traditional variety,2,1,Very poor,3,15,1,4,3,Rain water irrigation,13.5,48.15,4.05,1,Manual Equipment,2,1,Sale,2,Seed Donation,1.8,47,0.0864,0.1,0.0863136,0.863136
2,Itasy,2,0,1.73,1,1,2,3,Broadcast sowing,61,2,Local/traditional variety,2,3,Average,2,85,1,3,2,Motorised irrigation,74.39,19.03,15.57,2,Animal Drawn Equipment,1,3,Both,1,Financial aid,6.92,102,0.033216,0.13,0.033172819,0.331728192
3,Diana,2,0,1.74,1,1,2,1,Random transplanting,61,2,Local/traditional variety,2,3,Average,3,66,1,4,2,Motorised irrigation,238.38,113.1,13.92,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,6.96,162,0.033408,0.13,0.03336457,0.333645696
3,Diana,2,0,1.91,1,1,2,4,Direct row sowing,61,2,Local/traditional variety,2,1,Very poor,2,170,2,1,2,Motorised irrigation,233.02,74.49,15.28,2,Animal Drawn Equipment,1,3,Both,2,Seed Donation,9.55,88,0.036672,0.12,0.036627994,0.366279936
3,Diana,2,0,3.59,1,1,3,3,Broadcast sowing,61,2,Local/traditional variety,2,2,Poor,2,162,2,3,2,Motorised irrigation,140.01,315.92,21.54,2,Animal Drawn Equipment,1,2,Self-Consumption,2,Seed Donation,10.77,80,0.404234,0.18,0.403506379,4.035063788
5,Vatovavy,1,0,0.24,1,1,1,3,Broadcast sowing,61,2,Local/traditional variety,2,1,Very poor,3,12,1,4,3,Rain water irrigation,3.12,6.72,0.48,1,Manual Equipment,2,1,Sale,1,Financial aid,0.96,39,0.014608,0.36,0.014555411,0.145554112
